species,year,season,prey.species,prey.sex,prey.age,prey.mass,prey.size,edible.biomass
leopard,2014,dry,Aardvark,unknown,adult,52.4,medium,41.9
leopard,2014,dry,Aardvark,unknown,adult,52.4,medium,41.9
leopard,2015,wet,Aardvark,unknown,subadult,36.6,medium,29.3
leopard,2013,wet,"Baboon, chacma",male,adult,31.8,medium,25.4
leopard,2015,wet,"Baboon, chacma",male,adult,31.8,medium,25.4
leopard,2015,wet,"Baboon, chacma",male,adult,31.8,medium,25.4
leopard,2015,wet,"Baboon, chacma",male,adult,31.8,medium,25.4
leopard,2015,dry,"Baboon, chacma",female,adult,15.4,small,13.9
leopard,2014,dry,"Baboon, chacma",female,adult,15.4,small,13.9
leopard,2015,dry,"Baboon, chacma",unknown,subadult,16.5,small,14.9
leopard,2015,dry,"Baboon, chacma",unknown,subadult,16.5,small,14.9
leopard,2014,dry,"Baboon, chacma",unknown,subadult,16.5,small,14.9
leopard,2015,dry,"Baboon, chacma",unknown,juvenile,7.1,small,6.4
leopard,2015,wet,"Baboon, chacma",unknown,juvenile,7.1,small,6.4
leopard,2015,dry,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2015,dry,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2013,dry,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2014,wet,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2015,wet,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2014,wet,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2014,wet,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2015,wet,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2014,wet,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2013,wet,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2015,wet,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2015,wet,"Buffalo, African",unknown,juvenile,165.5,large,115.9
leopard,2014,dry,Bushbuck,female,subadult,25.9,medium,20.7
