"species","year","prey.species","prey.sex","prey.age","prey.mass","prey.size","edible.biomass","nonedible.biomass","prey.taste"
"leopard",2014,"Aardvark",NA,"adult",52.4,"medium",41.9,10.5,"neutral"
"leopard",2014,"Aardvark",NA,"adult",52.4,"medium",41.9,10.5,"neutral"
"leopard",2015,"Aardvark",NA,"subadult",36.6,"medium",29.3,7.3,"good"
"leopard",2013,"Baboon, chacma","male","adult",31.8,"medium",25.4,6.4,"good"
"leopard",2015,"Baboon, chacma","male","adult",31.8,"medium",25.4,6.4,"good"
"leopard",2015,"Baboon, chacma","male","adult",31.8,"medium",25.4,6.4,"good"
"leopard",2015,"Baboon, chacma","male","adult",31.8,"medium",25.4,6.4,"good"
"leopard",2015,"Baboon, chacma","female","adult",15.4,"small",13.9,1.5,"delicious"
"leopard",2014,"Baboon, chacma","female","adult",15.4,"small",13.9,1.5,"delicious"
"leopard",2015,"Baboon, chacma",NA,"subadult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Baboon, chacma",NA,"subadult",16.5,"small",14.9,1.6,"delicious"
"leopard",2014,"Baboon, chacma",NA,"subadult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Baboon, chacma",NA,"juvenile",7.1,"small",6.4,0.699999999999999,"delicious"
"leopard",2015,"Baboon, chacma",NA,"juvenile",7.1,"small",6.4,0.699999999999999,"delicious"
"leopard",2015,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2015,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2013,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2014,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2015,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2014,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2014,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2015,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2014,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2013,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2015,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2015,"Buffalo, African",NA,"juvenile",165.5,"large",115.9,49.6,"bad"
"leopard",2014,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2014,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2014,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2013,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
"leopard",2014,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2015,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2013,"Bushbuck","female","adult",37,"medium",29.6,7.4,"good"
"leopard",2014,"Bushbuck","female","subadult",25.9,"medium",20.7,5.2,"delicious"
