"prey.species","n","prey.mass_mean","prey.mass_sd","prey.mass_min","prey.mass_max","edible.biomass_mean","edible.biomass_sd","edible.biomass_min","edible.biomass_max","nonedible.biomass_mean","nonedible.biomass_sd","nonedible.biomass_min","nonedible.biomass_max"
"Aardvark",4,48.45,7.9,36.6,52.4,38.75,6.3,29.3,41.9,9.7,1.6,7.3,10.5
"Baboon, chacma",12,20.4416666666667,9.43624138707523,7.1,31.8,17.15,7.02430844218198,6.4,25.4,3.29166666666667,2.50579631085912,0.699999999999999,6.4
"Buffalo, African",396,460.249242424242,159.701977744883,165.5,590,282.452272727273,88.7237026534801,115.8,354,177.79696969697,71.2532455643407,49.6,236
"Bushbuck",247,32.6773279352227,11.9600508870694,13.1,50,26.4004048582996,9.14521732029499,11.7,40,6.27692307692308,2.83699318495078,1.3,10
"Canerat, greater",19,4.03157894736842,0.29824045403173,2.8,4.1,3.63684210526316,0.275298880644674,2.5,3.7,0.394736842105263,0.0229415733870561,0.3,0.399999999999999
"Civet, African",3,12.5,0,12.5,12.5,11.3,0,11.3,11.3,1.2,0,1.2,1.2
"Duiker, common",228,15.259649122807,3.22567397043897,4.9,16.5,13.7789473684211,2.9174689919181,4.4,14.9,1.48070175438596,0.308292781770937,0.5,1.6
"Giraffe",32,609.78125,360.04135016779,303,1192,370.790625,183.45536568767,212.1,655.6,238.990625,177.081782380937,90.9,536.4
"Guineafowl, helmeted",3,1.3,0,1.3,1.3,1.2,0,1.2,1.2,0.1,0,0.1,0.1
"Hare, scrub",28,2.31428571428571,0.342879188003789,0.7,2.4,2.11785714285714,0.325523591258158,0.6,2.2,0.196428571428571,0.0188982236504613,0.1,0.2
"Hippo",8,625.1125,283.099812976171,421.7,1043,381.725,148.651084758908,274.1,573.7,243.3875,135.711621120458,147.6,469.3
"Hyaena, spotted",5,53.6,21.7458041929932,19.6,68.2,43.28,16.6766903191251,17.6,54.6,10.32,5.09431055197855,2,13.6
"Impala",1175,38.6417872340426,13.6118033710053,14.3,54.4,31.1585531914894,10.433413903094,12.9,43.5,7.48323404255319,3.198152111077,1.4,10.9
"Jackal, side-striped",3,8.9,0,8.9,8.9,8,0,8,8,0.9,0,0.9,0.9
"Kudu",179,143.677653631285,68.18392058194,55.9,220.8,102.723463687151,45.3148189574774,44.7,154.6,40.9541899441341,22.9117486615004,11.2,66.2
"Leopard",7,22.1428571428571,22.4920620918327,1,61.5,18.0857142857143,17.761046193982,0.9,49.2,4.05714285714286,4.75845112855613,0.1,12.3
"Lion",5,89.68,43.2954039131176,20,126,69.64,31.24328727903,18,94.5,20.04,12.2475711877907,2,31.5
"Mongoose, banded",2,1.15,0.353553390593274,0.9,1.4,1.05,0.353553390593274,0.8,1.3,0.0999999999999999,7.85046229341888e-17,0.0999999999999999,0.1
"Mongoose, white-tailed",3,4.3,0,4.3,4.3,3.9,0,3.9,3.9,0.4,0,0.4,0.4
"Monitor, rock",4,6.025,2.55,2.2,7.3,5.45,2.3,2,6.6,0.575,0.25,0.2,0.7
"Monkey, vervet",26,3.8,1.43108350559987,1.4,4.8,3.42307692307692,1.26120821193257,1.3,4.3,0.376923076923077,0.170429322143092,0.0999999999999999,0.5
"Nyala",112,65.8767857142857,31.7524063985364,25.4,107.5,50.9910714285714,23.2086833453663,20.3,80.6,14.8857142857143,8.64794780783287,5.1,26.9
"Porcupine, crested",6,12.2,0,12.2,12.2,10.9666666666667,0.051639777949432,10.9,11,1.23333333333333,0.051639777949432,1.2,1.3
"Python, African rock",4,46.75,9.52627944162882,38.5,55,37.4,7.62102355330306,30.8,44,9.35,1.90525588832577,7.7,11
"Reedbuck, common",7,42.0857142857143,6.63612049605002,38.2,51.8,33.6857142857143,5.26986039392208,30.6,41.4,8.4,1.36626010212795,7.6,10.4
"Rhino, white",4,950,471.09800820353,570,1540,517.5,212.17838407026,342,770,432.5,259.909599668808,228,770
"Spurfowl, Natal",2,0.3,0.282842712474619,0.1,0.5,0.3,0.282842712474619,0.1,0.5,0,0,0,0
"Squirrel, tree",2,0.2,0,0.2,0.2,0.2,0,0.2,0.2,0,0,0,0
"Steenbok",36,10.6666666666667,1.81202333633664,3.3,11.1,9.61111111111111,1.62617478902006,3,10,1.05555555555556,0.185848547316579,0.3,1.1
"Tortoise, sp.",10,3.4,0.843274042711568,3,5,3.06,0.758946638440411,2.7,4.5,0.34,0.0843274042711569,0.3,0.5
"Warthog",163,50.5914110429448,21.2383167556648,20.4,79.6,41.0184049079755,16.2379118923943,18.4,63.7,9.57300613496932,5.03231607760287,2,15.9
"Waterbuck",81,133.111111111111,74.8144371094243,63,240,96.5222222222222,49.4074311212392,50.4,168,36.5888888888889,25.4415850528225,12.6,72
"Wildebeest, blue",89,160.913483146067,67.6620465505711,63.6,231,114.957303370787,44.4925041890113,50.9,161.7,45.9561797752809,23.2138524233043,12.7,69.3
"Zebra, Burchells",55,212.554545454545,95.1008389147518,92.3,313,151.961818181818,62.4934588900343,73.8,219.1,60.5927272727273,32.6694321649428,18.5,93.9
